location_description,Area,Building,Campus,Company,Facility,Room,Site,location_full_name,test_type_code,test_type_desc,site_description,metric_nm,metric_id,group_map_json_obj
Lager-Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Lager-Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_109,ACTIVEAIR_AA,LI_VIABAIR_TSA,Raummitte auf Stativ,% CRR,1,"[{""location_description"":""Lager-Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Lager-Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_109"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Raummitte auf Stativ""}]"
Lager-Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Lager-Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_109,SURFACE_AA,LI_VIABSURF_TSA,Regal,% CRR,2,"[{""location_description"":""Lager-Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Lager-Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_109"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Regal""}]"
Lager-Steriltest,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Lager-Steriltest,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_109,SURFACE_AA,LI_VIABSURF_TSA,Wand,% CRR,3,"[{""location_description"":""Lager-Steriltest"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Lager-Steriltest"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_109"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Wand""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,ACTIVEAIR_AA,LI_VIABAIR_TSA,"vor Isolator 1818411, auf Stativ",% CRR,4,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""vor Isolator 1818411, auf Stativ""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,ACTIVEAIR_AA,LI_VIABAIR_TSA,"vor Isolator 1818412, auf Stativ",% CRR,5,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""vor Isolator 1818412, auf Stativ""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,ACTIVEAIR_AA,LI_VIABAIR_TSA,im Bereich mittig vor Schleuse R.131,% CRR,6,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""im Bereich mittig vor Schleuse R.131""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,SURFACE_AA,LI_VIABSURF_TSA,"Glasfläche zwischen Glove 3+4, Isolator 1818411",% CRR,7,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Glasfläche zwischen Glove 3+4, Isolator 1818411""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,SURFACE_AA,LI_VIABSURF_TSA,"Glasoberfläche MS oberhalb von Griff, Isolator 1818411",% CRR,8,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Glasoberfläche MS oberhalb von Griff, Isolator 1818411""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,SURFACE_AA,LI_VIABSURF_TSA,"Glasfläche zwischen Glove 3+4, Isolator 1818412",% CRR,9,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Glasfläche zwischen Glove 3+4, Isolator 1818412""}]"
Steriltest-Labor,Clean Room Class D,Level 01,Linz,Takeda Global,Building 33,Steriltest-Labor,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111,SURFACE_AA,LI_VIABSURF_TSA,"Glasfläche MS oberhalb von Griff, Isolator 1818412",% CRR,10,"[{""location_description"":""Steriltest-Labor"",""Area"":""Clean Room Class D"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Steriltest-Labor"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_D -> LI3301_D_111"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Glasfläche MS oberhalb von Griff, Isolator 1818412""}]"
